지역명,매장명,지역명_매장명,전화번호,링크
서울 특별시,쏠모바일,서울 특별시_쏠모바일,010-2611-1861,https://www.daangn.com/kr/local-profile/%EC%8F%A0%EB%AA%A8%EB%B0%94%EC%9D%BC-vuroj13zoy4r/
서울 특별시,엠와이,서울 특별시_엠와이,010-5515-3634,https://www.daangn.com/kr/local-profile/%EC%97%A0%EC%99%80%EC%9D%B4-3asc3gmw7s7o/
서울 특별시,위대한폰,서울 특별시_위대한폰,010-4868-8884,https://www.daangn.com/kr/local-profile/%EC%9C%84%EB%8C%80%ED%95%9C%ED%8F%B0-w4eczzcwquvp/
서울 특별시,이채정보통신,서울 특별시_이채정보통신,010-8004-9521,https://www.daangn.com/kr/local-profile/%EC%9D%B4%EC%B1%84%EC%A0%95%EB%B3%B4%ED%86%B5%EC%8B%A0-gfsn3qdv6if6/
서울 특별시,지미컴퍼니,서울 특별시_지미컴퍼니,010-2377-4182,https://www.daangn.com/kr/local-profile/%EC%A7%80%EB%AF%B8%EC%BB%B4%ED%8D%BC%EB%8B%88-any22f1cdc8i/
서울 특별시,청년모바일,서울 특별시_청년모바일,010-2127-7010,https://www.daangn.com/kr/local-profile/%EC%B2%AD%EB%85%84%EB%AA%A8%EB%B0%94%EC%9D%BC-efsqkmfsfkxk/
서울 특별시,케이모바일,서울 특별시_케이모바일,010-5555-2215,https://www.daangn.com/kr/local-profile/%EC%BC%80%EC%9D%B4%EB%AA%A8%EB%B0%94%EC%9D%BC-twk89ab3zxnb/
서울 특별시,키움텔레콤,서울 특별시_키움텔레콤,010-8287-2084,https://www.daangn.com/kr/local-profile/%ED%82%A4%EC%9B%80%ED%85%94%EB%A0%88%EC%BD%A4-4qmjjuf5rzh3/
서울 특별시,폰케이스신드롬,서울 특별시_폰케이스신드롬,010-5455-5419,https://www.daangn.com/kr/local-profile/%ED%8F%B0%EC%BC%80%EC%9D%B4%EC%8A%A4%EC%8B%A0%EB%93%9C%EB%A1%AC-k3pkkogun2sq/
서울 특별시,휴대폰 여기어때,서울 특별시_휴대폰 여기어때,010-8693-0512,https://www.daangn.com/kr/local-profile/%ED%9C%B4%EB%8C%80%ED%8F%B0-%EC%97%AC%EA%B8%B0%EC%96%B4%EB%95%8C-sybja25tgqh2/
서울 특별시,휴대폰 할인매장,서울 특별시_휴대폰 할인매장,010-9570-6998,https://www.daangn.com/kr/local-profile/%ED%9C%B4%EB%8C%80%ED%8F%B0-%ED%95%A0%EC%9D%B8%EB%A7%A4%EC%9E%A5-btgqiy2ni2xn/
서울 특별시,휴대폰성지,서울 특별시_휴대폰성지,010-4757-6410,https://www.daangn.com/kr/local-profile/%ED%9C%B4%EB%8C%80%ED%8F%B0%EC%84%B1%EC%A7%80-onwoia78bje3/
서울 특별시,휴대폰성지 상도점,서울 특별시_휴대폰성지 상도점,010-7665-1627,https://www.daangn.com/kr/local-profile/%ED%9C%B4%EB%8C%80%ED%8F%B0%EC%84%B1%EC%A7%80-%EC%83%81%EB%8F%84%EC%A0%90-vbfmoszoh73b/
서울 특별시,휴대폰성지 휴대폰맛집 금천점,서울 특별시_휴대폰성지 휴대폰맛집 금천점,010-2867-0733,https://www.daangn.com/kr/local-profile/%ED%9C%B4%EB%8C%80%ED%8F%B0%EC%84%B1%EC%A7%80-%ED%9C%B4%EB%8C%80%ED%8F%B0%EB%A7%9B%EC%A7%91-%EA%B8%88%EC%B2%9C%EC%A0%90-eafttqta1wzy/
서울 특별시,휴대폰성지 휴대폰파크 천호점,서울 특별시_휴대폰성지 휴대폰파크 천호점,010-2065-8470,https://www.daangn.com/kr/local-profile/%ED%9C%B4%EB%8C%80%ED%8F%B0%EC%84%B1%EC%A7%80-%ED%9C%B4%EB%8C%80%ED%8F%B0%ED%8C%8C%ED%81%AC-%EC%B2%9C%ED%98%B8%EC%A0%90-mix2yz2qnk3y/
서울 특별시,휴대폰아울렛,서울 특별시_휴대폰아울렛,010-4383-3446,https://www.daangn.com/kr/local-profile/%ED%9C%B4%EB%8C%80%ED%8F%B0%EC%95%84%EC%9A%B8%EB%A0%9B-homnnmebgowj/
장안동-6085,서울특별시 동대문구 장안동 동네업체,장안동-6085_서울특별시 동대문구 장안동 동네업체,010-9500-1663,https://www.daangn.com/kr/local-profile/?in=%EC%9E%A5%EC%95%88%EB%8F%99-6085
