지역명_매장명,매장명,지역명,시,군구,전화번호,주소,링크
서울 구로구_구로중고폰 에코폰 구로디지털단지점,구로중고폰 에코폰 구로디지털단지점,서울 구로구,서울,구로구,010-6303-1327,서울 구로구 디지털로32가길 1 403호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 구로구_폰싸몰,폰싸몰,서울 구로구,서울,구로구,010-2248-0199,"서울 구로구 구로동로 32 1층 101,102호",https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 구로구_미미텔레콤,미미텔레콤,서울 구로구,서울,구로구,010-2887-7557,서울 구로구 디지털로32다길 23 805호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 관악구_난곡 폰마트,난곡 폰마트,서울 관악구,서울,관악구,010-2582-2738,서울 관악구 난곡로 234 2호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 구로구_구로선불폰,구로선불폰,서울 구로구,서울,구로구,010-2933-1597,서울 구로구 디지털로 273 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 구로구_드림통신,드림통신,서울 구로구,서울,구로구,010-5678-6555,서울 구로구 우마길 13,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 관악구_EJ통신,EJ통신,서울 관악구,서울,관악구,010-4015-3232,서울 관악구 난우길 36 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 영등포구_국제통신,국제통신,서울 영등포구,서울,영등포구,010-5323-7828,서울 영등포구 디지털로37길 6,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 영등포구_케이케이모바일,케이케이모바일,서울 영등포구,서울,영등포구,010-4745-9938,서울 영등포구 디지털로54길 25,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 영등포구_티플러스,티플러스,서울 영등포구,서울,영등포구,010-6663-5555,서울 영등포구 디지털로51길 10,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 관악구_휴대폰성지 신림점,휴대폰성지 신림점,서울 관악구,서울,관악구,010-4838-3332,서울 관악구 신원로 22 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 관악구_한성텔레콤,한성텔레콤,서울 관악구,서울,관악구,010-7622-2758,서울 관악구 대학12길 2 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 관악구_금원환전소휴대폰,금원환전소휴대폰,서울 관악구,서울,관악구,010-4168-8288,서울 관악구 신사로10길 11,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 구로구_더유명,더유명,서울 구로구,서울,구로구,010-5747-0568,서울 구로구 구로동로28길 86 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B8%88%EC%B2%9C+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 광진구_옆커폰 중곡점,옆커폰 중곡점,서울 광진구,서울,광진구,010-6362-8893,서울 광진구 용마산로 58 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 광진구_앤모바일 선불폰개통,앤모바일 선불폰개통,서울 광진구,서울,광진구,010-2333-3218,서울 광진구 긴고랑로10길 6,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 광진구_월드텔레콤,월드텔레콤,서울 광진구,서울,광진구,010-6281-4791,서울 광진구 천호대로 549 408호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 광진구_중곡동중고폰선불폰,중곡동중고폰선불폰,서울 광진구,서울,광진구,010-5892-3883,서울 광진구 긴고랑로7길 26 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 광진구_휴대폰매장 그린 아차산점,휴대폰매장 그린 아차산점,서울 광진구,서울,광진구,010-6304-6664,서울 광진구 영화사로 30 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 광진구_에스디모바일,에스디모바일,서울 광진구,서울,광진구,010-6423-2032,서울 광진구 긴고랑로22길 23,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 광진구_엔피엔피,엔피엔피,서울 광진구,서울,광진구,010-3444-0066,서울 광진구 천호대로102길 20 1층 104호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 광진구_옆커폰 군자점,옆커폰 군자점,서울 광진구,서울,광진구,010-4902-2836,서울 광진구 군자로 80 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 중랑구_무진핸드폰매장,무진핸드폰매장,서울 중랑구,서울,중랑구,010-3351-4887,서울 중랑구 사가정로 385-1 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 광진구_은혜통신,은혜통신,서울 광진구,서울,광진구,010-7437-4442,서울 광진구 자양로 194 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 중랑구_진텔레콤,진텔레콤,서울 중랑구,서울,중랑구,010-7625-2150,서울 중랑구 면목로35길 8 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 광진구_핸드폰클리닉 구의점,핸드폰클리닉 구의점,서울 광진구,서울,광진구,010-5373-8118,서울 광진구 광나루로 521 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 동대문구_하이컴퍼니,하이컴퍼니,서울 동대문구,서울,동대문구,010-5564-4125,서울 동대문구 장한로32길 27 1층 102호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 중랑구_마이텔레콤,마이텔레콤,서울 중랑구,서울,중랑구,010-3937-9757,서울 중랑구 면목로44라길 2,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 동대문구_준 텔레콤,준 텔레콤,서울 동대문구,서울,동대문구,010-8899-4494,서울 동대문구 답십리로66길 75 1층 105호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 광진구_건대중고폰 퐁구폰,건대중고폰 퐁구폰,서울 광진구,서울,광진구,010-5063-8784,서울 광진구 능동로11길 8-5 4층 401호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 광진구_건대선불폰개통센터,건대선불폰개통센터,서울 광진구,서울,광진구,010-2940-9606,서울 광진구 아차산로27길 13-1,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 광진구_폰맛집,폰맛집,서울 광진구,서울,광진구,010-9262-4338,"서울 광진구 광나루로56길 85 강변테크노마트 6층 D-042, 58호",https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 광진구_다우리,다우리,서울 광진구,서울,광진구,010-4444-2522,"서울 광진구 광나루로56길 85 강변테크노마트 6층 D-65,66호",https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 광진구_뚱이통신,뚱이통신,서울 광진구,서울,광진구,010-8984-6161,서울 광진구 광나루로56길 85 테크노마트21 6층 B075호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 광진구_에이치디마케팅 강변1호점,에이치디마케팅 강변1호점,서울 광진구,서울,광진구,010-6863-1053,서울 광진구 광나루로56길 85 테크노마트21 6층 053호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 광진구_모든폰 강변테크노점,모든폰 강변테크노점,서울 광진구,서울,광진구,010-4006-1921,서울 광진구 광나루로56길 85 테크노-마트21 6층 B-17호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 광진구_필승,필승,서울 광진구,서울,광진구,010-2989-2155,서울 광진구 광나루로56길 85 테크노마트 6층 D-042호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 광진구_에이스모바일,에이스모바일,서울 광진구,서울,광진구,010-2488-2277,서울 광진구 광나루로56길 85 테크노마트21 6층 C-63호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 광진구_포도,포도,서울 광진구,서울,광진구,010-2000-4889,"서울 광진구 광나루로56길 85 테크노마트21 6층 D032,033호",https://map.kakao.com/?from=total&nil_suggest=btn&q=%EC%A4%91%EA%B3%A1%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 강서구_휴대폰성지 옆커폰 신방화점,휴대폰성지 옆커폰 신방화점,서울 강서구,서울,강서구,010-7761-9777,서울 강서구 마곡중앙5로 87 우성르보아투 1층 105호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B3%B5%ED%95%AD%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 강서구_서울중고폰 폰당폰 마곡점,서울중고폰 폰당폰 마곡점,서울 강서구,서울,강서구,010-8181-7131,서울 강서구 공항대로 164 류마타워 4층 408호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B3%B5%ED%95%AD%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 강서구_휴대폰성지 옆커폰 내발산점,휴대폰성지 옆커폰 내발산점,서울 강서구,서울,강서구,010-9948-8401,서울 강서구 수명로 74 발산시티타워 1층 104호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B3%B5%ED%95%AD%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 강서구_천보통신 강서점,천보통신 강서점,서울 강서구,서울,강서구,010-4471-8007,서울 강서구 양천로 87 대일빌딩 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B3%B5%ED%95%AD%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 강서구_휴대폰성지 정직폰 강서점,휴대폰성지 정직폰 강서점,서울 강서구,서울,강서구,010-3957-9694,서울 강서구 공항대로 261 발산파크프라자 1층 104호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B3%B5%ED%95%AD%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 강서구_Ok중고폰할인마트,Ok중고폰할인마트,서울 강서구,서울,강서구,010-2221-1080,서울 강서구 금낭화로 136 2층 225호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B3%B5%ED%95%AD%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 강서구_휴대폰성지 청년폰 강서점,휴대폰성지 청년폰 강서점,서울 강서구,서울,강서구,010-7933-2692,서울 강서구 강서로 391 문영비즈웍스 1층 102호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B3%B5%ED%95%AD%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 강서구_제로폰 방화역점,제로폰 방화역점,서울 강서구,서울,강서구,010-8859-2221,서울 강서구 금낭화로 135 금강프라자빌딩 1층 109호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B3%B5%ED%95%AD%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 강서구_한울 서정점,한울 서정점,서울 강서구,서울,강서구,010-9752-7595,서울 강서구 금낭화로 135 금강프라자빌딩 1층 103호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B3%B5%ED%95%AD%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 강서구_당근폰,당근폰,서울 강서구,서울,강서구,010-4459-1613,서울 강서구 강서로 409 엘리안 1층 105호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EA%B3%B5%ED%95%AD%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 강서구_더본모바일,더본모바일,서울 강서구,서울,강서구,010-2944-3016,서울 강서구 강서로 161 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EB%93%B1%EC%B4%8C%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 강서구_휴대폰성지,휴대폰성지,서울 강서구,서울,강서구,010-2321-4889,서울 강서구 화곡로26가길 18 청산타워2 1층 102호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EB%93%B1%EC%B4%8C%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 강서구_폰살롱,폰살롱,서울 강서구,서울,강서구,010-8175-8011,서울 강서구 공항대로 557 등촌제이스카이 101동 근생 105호 폰살롱,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EB%93%B1%EC%B4%8C%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 강서구_휴대폰 성지 옆커폰 염창점,휴대폰 성지 옆커폰 염창점,서울 강서구,서울,강서구,010-7773-2131,서울 강서구 양천로 683 주원리젠트 102동 1층 1호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EB%93%B1%EC%B4%8C%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 강서구_유이텔레콤,유이텔레콤,서울 강서구,서울,강서구,010-7557-8655,서울 강서구 양천로73가길 19 1층 102호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EB%93%B1%EC%B4%8C%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 강북구_옆커폰 길음점,옆커폰 길음점,서울 강북구,서울,강북구,010-2891-0730,서울 강북구 솔샘로67길 137 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EB%AF%B8%EC%95%84%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 강북구_중고폰 아이폰수리 에코폰 미아점,중고폰 아이폰수리 에코폰 미아점,서울 강북구,서울,강북구,010-2400-9342,서울 강북구 도봉로8길 21 2층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EB%AF%B8%EC%95%84%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 강북구_캡틴모바일 온라인,캡틴모바일 온라인,서울 강북구,서울,강북구,010-7371-4685,서울 강북구 도봉로29길 7 2층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EB%AF%B8%EC%95%84%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 강북구_청춘대길 삼양점,청춘대길 삼양점,서울 강북구,서울,강북구,010-7343-7560,서울 강북구 솔샘로 254 1층 3호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EB%AF%B8%EC%95%84%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 강북구_휴대폰성지 휴대뽐 미아점,휴대폰성지 휴대뽐 미아점,서울 강북구,서울,강북구,010-7610-8594,서울 강북구 도봉로 143 일수빌딩 1층 108호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EB%AF%B8%EC%95%84%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 강북구_우리형스마트폰,우리형스마트폰,서울 강북구,서울,강북구,010-7599-0330,서울 강북구 솔매로 119 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EB%AF%B8%EC%95%84%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 강북구_정직한스토리,정직한스토리,서울 강북구,서울,강북구,010-5848-8080,서울 강북구 도봉로13길 49 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EB%AF%B8%EC%95%84%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 강북구_휴대폰성지 옆커폰 수유점,휴대폰성지 옆커폰 수유점,서울 강북구,서울,강북구,010-8284-5523,서울 강북구 덕릉로 82 제네스타워 1층 105호,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EB%AF%B8%EC%95%84%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 강북구_매니아텔레콤,매니아텔레콤,서울 강북구,서울,강북구,010-4425-6016,서울 강북구 한천로 1000 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EB%AF%B8%EC%95%84%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 강북구_건강모바일,건강모바일,서울 강북구,서울,강북구,010-8400-2049,서울 강북구 한천로 1046-1 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EB%AF%B8%EC%95%84%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 강북구_동네폰가게,동네폰가게,서울 강북구,서울,강북구,010-7399-4499,서울 강북구 삼각산로28길 6,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EB%AF%B8%EC%95%84%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 강북구_아프리카중고폰 수유미아지사,아프리카중고폰 수유미아지사,서울 강북구,서울,강북구,010-5754-2218,서울 강북구 한천로144길 54 1층,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EB%AF%B8%EC%95%84%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
서울 강북구_내일모바일,내일모바일,서울 강북구,서울,강북구,010-7186-0469,서울 강북구 인수봉로55길 4,https://map.kakao.com/?from=total&nil_suggest=btn&q=%EB%AF%B8%EC%95%84%EB%8F%99+%ED%9C%B4%EB%8C%80%ED%8F%B0&tab=place#none
